round,query_label,image_id,category,rank,score
1,cat,1,0,1,9.431411
1,cat,4,0,2,9.237999
1,cat,5,0,3,8.863899
1,cat,9,0,4,7.784727
1,cat,0,0,5,6.445819
1,cat,13,1,6,4.381821
1,cat,6,0,7,3.810895
1,cat,19,1,8,3.610009
1,cat,2,0,9,3.562661
1,cat,7,0,10,2.520082
1,cat,8,0,11,2.514253
1,cat,3,0,12,2.514092
1,cat,11,1,13,0.464372
1,dog,14,1,1,9.331811
1,dog,15,1,2,9.242326
1,dog,4,0,3,7.185838
1,dog,13,1,4,6.433455
1,dog,16,1,5,6.177190
1,dog,19,1,6,5.658060
1,dog,18,1,7,2.514631
1,dog,11,1,8,2.514580
1,dog,17,1,9,2.511573
1,dog,10,1,10,2.506049
1,dog,12,1,11,2.502753
1,dog,6,0,12,1.751615
1,dog,7,0,13,0.463706
1,plane,21,2,1,9.526993
1,plane,24,2,2,9.507603
1,plane,27,2,3,9.442472
1,plane,28,2,4,9.433001
1,plane,26,2,5,9.391179
1,plane,29,2,6,8.799843
1,plane,20,2,7,7.571628
1,plane,23,2,8,4.802888
1,plane,16,1,9,4.107454
1,plane,25,2,10,2.545114
1,plane,22,2,11,2.491982
1,plane,6,0,12,1.720370
1,plane,8,0,13,0.444174
1,clothes,31,3,1,9.509682
1,clothes,39,3,2,9.447352
1,clothes,36,3,3,9.296378
1,clothes,33,3,4,8.453506
1,clothes,34,3,5,7.855076
1,clothes,4,0,6,7.171100
1,clothes,37,3,7,6.386792
1,clothes,38,3,8,5.882832
1,clothes,9,0,9,5.720627
1,clothes,35,3,10,2.498988
1,clothes,32,3,11,2.472764
1,clothes,30,3,12,2.468138
1,clothes,6,0,13,1.740282
1,car,49,4,1,9.672195
1,car,42,4,2,9.348984
1,car,47,4,3,8.651854
1,car,21,2,4,7.463185
1,car,26,2,5,7.327766
1,car,44,4,6,7.110966
1,car,40,4,7,6.820843
1,car,48,4,8,6.693223
1,car,43,4,9,5.327008
1,car,41,4,10,4.789648
1,car,46,4,11,2.495881
1,car,45,4,12,2.487461
1,car,25,2,13,0.473759
10,cat,7,0,1,8.970987
10,cat,4,0,2,8.072128
10,cat,1,0,3,7.497296
10,cat,5,0,4,7.319513
10,cat,9,0,5,6.936329
10,cat,0,0,6,5.687078
10,cat,19,1,7,5.619163
10,cat,6,0,8,4.884225
10,cat,2,0,9,3.874648
10,cat,11,1,10,3.368061
10,cat,13,1,11,2.989688
10,cat,8,0,12,2.203978
10,cat,3,0,13,2.203817
10,dog,12,1,1,9.354533
10,dog,14,1,2,8.345577
10,dog,10,1,3,8.343414
10,dog,19,1,4,7.667214
10,dog,17,1,5,7.021856
10,dog,7,0,6,6.914612
10,dog,15,1,7,6.487954
10,dog,4,0,8,6.019968
10,dog,16,1,9,5.567634
10,dog,11,1,10,5.418269
10,dog,13,1,11,5.041322
10,dog,6,0,12,2.824945
10,dog,18,1,13,2.204356
10,plane,21,2,1,8.797883
